survival_functions,epochs,chance_rot_cycle,chance_rot_right,chance_invert,chance_erase_stop,chance_add_stop,chance_add_stop_mix,chance_replace_stops,chance_replace_stops_proximity,chance_create_line,chance_cycle,chance_erase_line,chance_merge,chance_merge_mix,chance_split,cycle_stops_shift,chance_merge_specimen,chance_cycle_stops_shift,chance_line_based_merge,fitness
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.25,0.8,0.75,0.8,0.5,0.1,0.1,35.6173340744221
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.25,0.8,0.75,0.8,0.5,0.3,0.1,33.720498211640894
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.25,0.8,0.75,0.8,0.5,0.1,0.3,34.15624795148239
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.25,0.8,0.75,0.2,0.5,0.3,0.3,34.784232057800104
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.25,0.8,0.75,0.8,0.5,0.3,0.3,33.98485214889039
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.1,0.1,35.100373501848146
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.1,0.1,34.89213474922769
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.1,0.3,34.36890111120542
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.3,0.1,34.46917723147525
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.3,0.1,33.42627832026691
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.3,0.3,34.437281424874165
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.1,0.3,33.86509999290681
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.3,0.3,34.125841319084806
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.25,0.25,0.8,0.75,0.2,0.5,0.1,0.1,35.30251688855994
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.25,0.25,0.8,0.75,0.8,0.5,0.1,0.3,34.52798057245795
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.25,0.25,0.8,0.75,0.2,0.5,0.1,0.3,33.8233207594287
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.25,0.25,0.8,0.75,0.8,0.5,0.1,0.1,34.77571915780305
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.25,0.25,0.8,0.75,0.2,0.5,0.3,0.1,34.46902908648065
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.25,0.25,0.8,0.75,0.8,0.5,0.3,0.1,34.50695995017112
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.25,0.25,0.8,0.75,0.2,0.5,0.3,0.3,33.92538662702543
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.25,0.25,0.8,0.75,0.8,0.5,0.3,0.3,34.93970872594836
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.1,0.1,34.3594534626264
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.1,0.1,34.79275313999809
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.1,0.3,34.25837178130237
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.3,0.1,34.42365592088699
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.3,0.1,34.29551124584671
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.3,0.3,34.919951953195834
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.1,0.3,34.696646771243195
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.3,0.3,33.92077792670424
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.25,0.25,0.8,0.75,0.2,0.5,0.1,0.1,34.94503011808397
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.25,0.25,0.8,0.75,0.2,0.5,0.1,0.3,34.389167087754295
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.25,0.25,0.8,0.75,0.2,0.5,0.3,0.1,34.77008092043003
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.25,0.25,0.8,0.75,0.8,0.5,0.1,0.1,34.51399978534269
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.25,0.25,0.8,0.75,0.2,0.5,0.3,0.3,34.5307591197441
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.25,0.25,0.8,0.75,0.8,0.5,0.1,0.3,34.76444111455505
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.25,0.25,0.8,0.75,0.8,0.5,0.3,0.1,34.800827515080805
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.25,0.25,0.8,0.75,0.8,0.5,0.3,0.3,33.70373862381444
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.3,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.1,0.1,33.60641183585775
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.3,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.3,0.1,33.98903524910018
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.3,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.1,0.3,34.213848259620654
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.3,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.1,0.1,34.82462777433489
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.3,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.3,0.3,34.48725601845862
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.3,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.1,0.3,34.440522237176914
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.3,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.3,0.1,34.77446258551157
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.3,0.1,0.1,0.25,0.25,0.8,0.75,0.2,0.5,0.1,0.1,34.18255008538834
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.3,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.3,0.3,34.00014941312245
1,100,0.5,0.5,0.5,0.1,0.1,0.1,0.3,0.3,0.1,0.1,0.25,0.25,0.8,0.75,0.2,0.5,0.1,0.3,33.84696242954893
