survival_functions,epochs,chance_create_line,chance_cycle,chance_erase_line,chance_invert,chance_merge,chance_merge_specimen,chance_rot_cycle,chance_rot_right,chance_split,fitness
0,100,0.2,0.2,0.2,0.8,0.2,0.8,0.2,0.2,0.2,29.569079387222644
0,100,0.2,0.2,0.2,0.8,0.2,0.8,0.2,0.2,0.8,31.854482418999027
0,100,0.2,0.2,0.2,0.8,0.2,0.8,0.2,0.8,0.2,30.314898668469038
0,100,0.2,0.2,0.2,0.8,0.2,0.8,0.2,0.8,0.8,31.727457537772946
0,100,0.2,0.2,0.2,0.8,0.2,0.8,0.8,0.2,0.2,29.95609164522961
0,100,0.2,0.2,0.2,0.8,0.2,0.8,0.8,0.2,0.8,32.83363739348669
0,100,0.2,0.2,0.2,0.8,0.2,0.8,0.8,0.8,0.2,30.298352360727268
0,100,0.2,0.2,0.2,0.8,0.2,0.8,0.8,0.8,0.8,31.646440757829584
0,100,0.2,0.2,0.2,0.8,0.8,0.2,0.2,0.2,0.2,25.139993142137524
0,100,0.2,0.2,0.2,0.8,0.8,0.2,0.2,0.8,0.2,26.958760689679536
0,100,0.2,0.2,0.2,0.8,0.8,0.2,0.2,0.2,0.8,29.767980211238495
0,100,0.2,0.2,0.2,0.8,0.8,0.2,0.8,0.2,0.2,27.78233158526631
0,100,0.2,0.2,0.2,0.8,0.8,0.2,0.2,0.8,0.8,30.145294745834292
0,100,0.2,0.2,0.2,0.8,0.8,0.2,0.8,0.8,0.2,27.547149414281762
0,100,0.2,0.2,0.2,0.8,0.8,0.8,0.2,0.2,0.2,25.74089296757818
0,100,0.2,0.2,0.2,0.8,0.8,0.2,0.8,0.2,0.8,31.523151484628432
0,100,0.2,0.2,0.2,0.8,0.8,0.2,0.8,0.8,0.8,31.02112441038577
0,100,0.2,0.2,0.2,0.8,0.8,0.8,0.2,0.8,0.2,25.711673548807145
0,100,0.2,0.2,0.2,0.8,0.8,0.8,0.2,0.2,0.8,30.203167308644044
0,100,0.2,0.2,0.2,0.8,0.8,0.8,0.8,0.2,0.2,26.359604662573833
0,100,0.2,0.2,0.2,0.8,0.8,0.8,0.2,0.8,0.8,30.21123178155159
0,100,0.2,0.2,0.2,0.8,0.8,0.8,0.8,0.8,0.2,24.74473288723244
0,100,0.2,0.2,0.2,0.8,0.8,0.8,0.8,0.2,0.8,28.454411551098303
0,100,0.2,0.2,0.2,0.8,0.8,0.8,0.8,0.8,0.8,28.92886201982294
0,100,0.2,0.2,0.8,0.2,0.2,0.2,0.2,0.2,0.2,28.543887577228332
0,100,0.2,0.2,0.8,0.2,0.2,0.2,0.2,0.2,0.8,29.511822463988853
0,100,0.2,0.2,0.8,0.2,0.2,0.2,0.2,0.8,0.2,28.347632128350188
0,100,0.2,0.2,0.8,0.2,0.2,0.2,0.8,0.2,0.2,27.099544163776102
0,100,0.2,0.2,0.8,0.2,0.2,0.2,0.2,0.8,0.8,28.595446189634256
0,100,0.2,0.2,0.8,0.2,0.2,0.2,0.8,0.8,0.2,26.721323633624014
